Key,Japanese,English,Traditional Chinese,Simplified chinese
TitleScene,タイトル画面,TitleScene,タイトル画面,タイトル画面
System.NewGame,New Game,New Game,New Game,New Game
System.Load,Load,Load,Load,Load
System.Gallery,Gallery,Gallery,Gallery,Gallery
System.Option,Option,Option,Option,Option
System.Credit,Credit,Credit,Credit,Credit
System.Exit,Exit,Exit,Exit,Exit
HomeScene,ホーム画面,HomeScene,ホーム画面,ホーム画面
System.Memory,回想,Memory,回想,回想
System.SwitchCharacter,画面キャラ変更,Change Character,更換角色,画面キャラ変更
System.BlackMarket,闇市,Black Market,黑市,闇市
System.Record,侵食記録,Record,侵蝕記録,侵蚀记录
System.Action,活動,Operation,活動,活動
System.Training,調教,Training,調教,調教
System.CharacterBuilding,キャラクター育成,Character Building,角色育成,キャラクター育成
System.Formation,キャラクター編成,Formation,角色編成,キャラクター編成
System.ResearchPoint,研究ポイント,Research Pts,研究點數,研究ポイント
System.Money,資金,Money,資金,資金
System.Mood,心情：,Mood:,心情：,心情：
System.Dark,闇落ち,Corrupt,惡墮,闇落ち
System.CoreResearch,聖核研究進度,Core Research,聖核研究進度,聖核研究進度
System.PickTraining,調教方法を選択：,Pick your training:,選擇調教方法：,調教方法を選択：
System.HornyTraining,淫乱調教,Horniness,淫亂調教,淫乱調教
System.BrainwashTraining,洗脳調教,Brainwash,洗腦調教,洗脳調教
System.HolyCoreTraining,聖核研究,Seikaku Research,聖核研究,聖核研究
System.ResearchPointCost,研究ポイント消耗：,Research Pts Cost:,消耗研究點數：,研究ポイント消耗：
System.ResearchComplete,調教完了,Training Complete,調教結束,調教完了
System.ResearchConditionDaiya,洗脳調教の終わりに解放,,,
System.Back,戻る,Back,退後,戻る
System.Confirm,確定,Confirm,確定,確定
System.OptionPanel,設定,Option,設定,設定
System.Attack,攻撃力：,ATK: ,攻撃力：,攻撃力：
System.Level,LV：,LV: ,LV：,LV：
System.HP,体力：,HP: ,HP：,体力：
System.MP,SP：,SP: ,SP：,SP：
System.Defense,防御力：,DEF: ,防御：,防御力：
System.Speed,素早さ：,SPD: ,速度：,素早さ：
System.Skill,特殊技：,Skill: ,技能：,特殊技：
System.Equipment,装備,Equipment,装備,装備
System.CharacterData,資料,Info,資料,資料
System.CharacterUpgrade,育成,Upgrade,育成,育成
System.LevelUp,レベルアップ,Level up,升級,レベルアップ
System.LevelMax,レベル上限,Max,滿級,滿級
System.Cost,資金コスト,Cost,資金消耗,資金コスト
System.Locked,未開放,Locked,未開放,未開放
System.Unlock,解放,Unlock,解放,解放
System.Regenerate,回復,Regenerate,回復,回復
System.RegenerateCost,回復コスト,Cost,所需資金,回復コスト
System.Inventory,インベントリ,Inventory,物品欄,インベントリ
System.SPCost,SP消耗：,SP Cost: ,SP消耗：,SP消耗：
System.EffectTarget,効果対象：,Target: ,効果対象：,効果対象：
System.EffectEnemy,敵単体,Single,敵単体,敵単体
System.EffectEnemyAoE,敵(複数),AoE,敵(複数),敵(複数)
System.EffectSelf,使用者,Self,使用者,使用者
System.EffectSelfAoE,味方全体,Teammate (AoE),隊友全体,味方全体
System.EffectTeam,味方,Teammate,隊友,味方
System.AbilityType,種類,Category,種類,種類
System.AbilityAttack,攻撃,Attack,攻撃,攻撃
System.AbilityHeal,回復,Heal,回復,回復
System.AbilityBuff,状態,Buff,状態,状態
System.AbilitySpecial,特殊,Special,特殊,特殊
System.Turn,ターン,Turn,回合,ターン
System.None,なし,None,無,なし
System.Cooldown,チャージ,Charge,冷卻,チャージ
System.AbilityAbsent,特殊技を持っていない,No usable skill,沒有可以用的技能,特殊技を持っていない
System.FileCorrupted,データ異常,File corrupted,資料異常,データ異常
System.Save,セーブ,Save,保存,セーブ
System.LoadFile,ロード,Load,讀取,ロード
System.AutoSave,オートセーブ,Auto Save,自動存檔,オートセーブ
System.Cancel,キャンセル,Cancel,取消,キャンセル
System.ConfirmSave,スロット<color=yellow>{0}</color>にセーブしますか？,Save to file <color=yellow>{0}</color>?,保存到位置<color=yellow>{0}</color>嗎？,スロット<color=yellow>{0}</color>にセーブしますか？
System.ConfirmReplace,スロット<color=yellow>{0}</color>のデータを上書きしますか？,Replace the save file on slot <color=yellow>{0}</color>?,確定要覆蓋掉位置<color=yellow>{0}</color>的存檔嗎？,スロット<color=yellow>{0}</color>のデータを上書きしますか？
System.ConfirmLoad,スロット<color=yellow>{0}</color>をロードしますか？,Load data <color=yellow>{0}</color>?,讀取位置<color=yellow>{0}</color>的存檔？,スロット<color=yellow>{0}</color>をロードしますか？
